,index,Unnamed: 0,Headline,Subheader,Section,Date,URL,Category
1050,700,20,An Embattled North Carolina Seeks to Outrun a Law’s Bitter Legacy,"Seven months after North Carolina repealed H.B. 2, which restricted restroom access for transgender people, the state is still grappling with the law’s fallout.",U.S.,2017-11-04,/2017/11/04/us/north-carolina-transgender-law.html?searchResultPosition=31,US New
1051,697,17,"Germany Must Allow Third Gender Category, Court Rules",The country’s constitutional court ruled that officials must create a gender-neutral option to ensure individuals’ rights.,Europe,2017-11-08,/2017/11/08/world/europe/germany-third-gender-category-vanja.html?searchResultPosition=27,World News
1052,698,18,Listen to ‘The Daily’: Was Iowa Killing a Hate Crime?,A murder trial after the death of a 16-year-old described by his mother as gender fluid has become part of the national debate over gender identity.,The Daily,2017-11-08,/2017/11/08/podcasts/the-daily/kedarie-johnson-murder-iowa.html?searchResultPosition=29,Misc
1053,695,15,Tutus and Tool Belts: Church of England Urges Children to Explore Gender Identity,"In a “Valuing All God’s Children” directive, the church said students “should be at liberty to explore the possibilities of who they might be without judgment or derision.”",Europe,2017-11-13,/2017/11/13/world/europe/church-of-england-transgender.html?searchResultPosition=23,World News
1054,694,14,"Danica Roem Is Really, Really Boring",That’s the beauty and brilliance of this transgender trailblazer.,Opinion,2017-11-14,/2017/11/14/opinion/danica-roem-virginia-transgender.html?searchResultPosition=22,Life
1055,893,213,"For Teenager, ‘What I See in the Mirror Is Not What I Am’","Manasia Horne’s struggle with gender identity has caused friction with her family. At a shelter for youths like her, she learned to accept herself.",New York,2017-11-14,/2017/11/14/nyregion/for-teenager-what-i-see-in-the-mirror-is-not-what-i-am.html?searchResultPosition=550,US New
1056,789,109,A Victory for Tolerance,"A reader praises the victory of Danica Roem, a trans woman elected to the Virginia legislature.",Opinion,2017-11-16,/2017/11/16/opinion/tolerance-danica-roem.html?searchResultPosition=139,Life
1057,870,190,Jeffrey Tambor Leaves ‘Transparent’ After Sexual Misconduct Allegations,"Mr. Tambor denies the allegations, but said he could not return to the show “given the politicized atmosphere that seems to have afflicted our set.”",Television,2017-11-19,/2017/11/19/arts/television/jeffrey-tambor-transparent.html?searchResultPosition=265,Arts
1058,687,7,"New York City Police Training Lags on Transgender Rules, Report Says","Despite new rules in the city’s police officer manual on dealing with issues of gender identity and sexual orientation, banned practices persist, a report found.",New York,2017-11-21,/2017/11/21/nyregion/nypd-transgender-rules.html?searchResultPosition=10,US New
1059,685,5,Second Judge Blocks Trump’s Transgender Ban in the Military,The ruling went further than a similar one last month by blocking a policy that prohibited gender-reassignment surgery at the government’s expense.,U.S.,2017-11-21,/2017/11/21/us/transgender-ban-military.html?searchResultPosition=7,US New
1060,902,222,"His, Hers and Theirs: Jewelry Crosses the Gender Barrier",As one designer said: “Women are wearing more masculine things and men are more comfortable in wearing jewelry.”,Fashion,2017-11-21,/2017/11/21/fashion/jewelry-gender.html?searchResultPosition=776,Arts
1061,808,128,California Today: Transgender Surgery Comes to Major Southern California Hospital,"Tuesday: Transgender surgery at Cedars-Sinai, an assemblyman accused of sexual harassment resigns and the rebel state of Jefferson.",U.S.,2017-11-28,/2017/11/28/us/california-today-transgender-surgery-comes-to-major-southern-california-hospital.html?searchResultPosition=158,US New
1062,892,212,Should Buyers Be Told About the Killer Next Door?,The magazine’s Ethicist columnist on whether to warn a potential buyer about a neighborhood murderer and unfriending a trans acquaintance on Facebook.,Magazine,2017-12-06,/2017/12/06/magazine/should-buyers-be-told-about-the-killer-next-door.html?searchResultPosition=536,Misc
1063,681,1,"Moogfest Shines a Spotlight on Female, Nonbinary and Transgender Musicians","The music, ideas and technology conference is showcasing its performers in a 50-hour live stream this week featuring 50 artists in 17 countries.",Music,2017-12-06,/2017/12/06/arts/music/moogfest-2018-female-non-binary-transgender-artists.html?searchResultPosition=2,Arts
1064,686,6,"For ‘Transparent,’ Accusations Against Jeffrey Tambor Burst an Idealistic Bubble",The staff of the acclaimed Amazon series believed it had created a special workplace. Then harassment accusations pierced the idealism.,Television,2017-12-06,/2017/12/06/arts/television/jeffrey-tambor-transparent.html?searchResultPosition=9,Arts
1065,680,0,Transgender People Will Be Allowed to Enlist in the Military as a Court Case Advances,"President Trump had announced on Twitter in July that he was barring transgender people from serving in the military, though a ban was never fully implemented.",Politics,2017-12-11,/2017/12/11/us/politics/transgender-military-pentagon.html?searchResultPosition=1,Politics
1066,684,4,"Trump, the C.D.C. and the Peek-a-Boo Doctrine","The administration seems to believe that if researchers can’t say “transgender,” then transgender Americans don’t exist.",Opinion,2017-12-18,/2017/12/18/opinion/trump-cdc-transgender.html?searchResultPosition=5,Life
1067,863,183,What’s on TV Tuesday: ‘15: A Quinceañera Story’ and ‘At Home With Amy Sedaris’,The first part of “15: A Quinceañera Story documents a transgender girl’s quinceañera. And Amy Sedaris’s satirical home show concludes its first season.,Television,2017-12-19,/2017/12/19/arts/television/whats-on-tv-tuesday-15-a-quinceanera-story-and-at-home-with-amy-sedaris.html?searchResultPosition=254,Arts
1068,887,207,The Year in Gender 2017,"From women’s marches around the world to a tsunami of sexual misconduct scandals, here are the biggest stories involving women’s and gender issues from 2017.",U.S.,2017-12-20,/2017/12/20/homepage/the-year-in-gender.html?searchResultPosition=460,US New
1069,911,231,Forbidden Words: Censorship at the C.D.C.?,"Readers, including two nurses and a doctor, discuss a reported ban on seven words, including “science-based” and “transgender.”",Opinion,2017-12-22,/2017/12/22/opinion/censorship-cdc.html?searchResultPosition=944,Life
